word	count
대통령	47
첫	27
kt	26
게시판	21
감독	18
신간	18
등	17
트럼프	17
것	15
이란	15
만에	14
방문	14
삼성	14
개최	13
영업익	13
5g	12
mlb	12
2분기	11
중	11
프로농구	11
감소	10
국내	10
월드컵	10
작년	10
전	10
최고	10
한국	10
공개	9
내달	9
새	9
중국	9
지원	9
출시	9
3분기	8
lg	8
개발	8
더	8
또	8
비	8
전국	8
db	7
lgu	7
lg전자	7
nba	7
skt	7
강화	7
그래픽	7
네이버	7
다시	7
류현진	7
문	7
사망	7
사우디	7
스마트폰	7
승리	7
오늘	7
증가	7
추진	7
1위	6
3년	6
경제	6
국회	6
규모	6
꺾고	6
논란	6
다저스	6
대표	6
돌파	6
모바일	6
모집	6
미	6
북한	6
서비스	6
성장	6
신임	6
아냐	6
없어	6
여성	6
역사	6
외국인	6
우려	6
정부	6
지속	6
터키	6
26일	5
가장	5
개막	5
검토	5
결정	5
공격	5
김정은	5
내	5
논의	5
놓고	5
때	5
러	5
매체	5
목표가	5
미국	5
민주	5
베네수엘라	5
삼성전자	5
손흥민	5
수사	5
시작	5
시즌	5
실적	5
안	5
압박	5
애플	5
여야	5
오바마	5
올해	5
왜	5
위한	5
유럽	5
인기	5
인수	5
일본	5
취임	5
하락	5
한국당	5
한반도	5
홈런	5
후	5
11일	4
1분기	4
eu	4
kbs	4
vs	4
가능성	4
갈등	4
갤럭시s8	4
검찰	4
겨냥	4
경선	4
공모	4
관련	4
금지	4
급락	4
기능	4
날씨	4
내년	4
내일	4
눈	4
대비	4
대선	4
대화	4
더민주	4
될	4
듯	4
러시아	4
발견	4
발사	4
베트남	4
보도	4
북미	4
불법	4
사장	4
상승	4
상용화	4
선두	4
선정	4
세계	4
속	4
수도	4
언론	4
없는	4
연속	4
연장	4
영상	4
예스24	4
오후	4
올림픽	4
울산	4
원내대표	4
이상	4
인터넷	4
장관	4
전북	4
정상회담	4
제주	4
주요	4
최지만	4
추가	4
추천	4
축구	4
출전	4
충돌	4
코스피	4
큰	4
투자	4
특검	4
특징주	4
평균	4
폭발	4
한	4
합의	4
확정	4
회동	4
1등	3
5명	3
6년	3
8명	3
d1	3
gdp	3
gs건설	3
lg유플러스	3
sk	3
sk텔레콤	3
가격	3
간담회	3
개선	3
개시	3
개통	3
거래	3
거리	3
거부	3
경고	3
경기	3
경찰	3
공모전	3
공연	3
공화	3
관심	3
광주	3
구글	3
구단	3
국민	3
금감원	3
기념식	3
낮	3
단통법	3
달성	3
당	3
대결	3
대구	3
대신증권	3
대표팀	3
대회	3
데이터	3
도로공사	3
