word	count
대통령	1560
첫	1057
출시	767
게시판	750
이란	710
등	681
감독	677
kt	671
신간	638
트럼프	625
것	607
한국	548
5g	515
개최	486
만에	462
정부	453
삼성	446
개발	408
문	400
올해	393
중	393
김정은	392
네이버	390
월드컵	390
lg	384
공개	380
전	377
류현진	370
작년	370
더	361
새	360
중국	352
국내	349
그래픽	338
시즌	333
사망	328
연속	327
skt	324
꺾고	318
최대	315
터키	314
1위	313
또	311
서울	311
개막	309
미국	308
서비스	306
한	301
최고	297
mlb	296
세계	289
내년	287
영업익	287
추진	287
코스피	286
프로농구	282
총리	277
듯	276
북한	275
스마트폰	271
ai	270
아시안게임	270
sk	269
전국	266
특징주	266
시리아	262
증가	258
후	257
논란	256
돌파	251
가능성	250
주말	250
지원	248
손흥민	247
방문	242
결정	241
내달	241
내일	240
경기	237
논의	237
여행	232
vs	231
규모	230
속	229
러시아	228
승리	228
시작	226
안	226
홍콩	225
강화	224
올림픽	220
확대	218
eu	215
민주	214
오늘	214
여야	211
국회	209
하락	209
러	208
비	207
lgu	206
사우디	204
부상	203
삼성전자	201
nba	200
역대	198
상승	197
일본	197
진출	197
다시	196
한국당	195
감소	194
발표	194
우려	194
1분기	193
이스라엘	193
수	192
영상	190
전망	190
대표	189
문대통령	189
위한	189
총선	187
합의	186
외국인	185
홈런	185
선정	184
n	179
없어	178
공격	176
기술	175
위해	173
앞두고	171
2분기	170
기대	170
sk텔레콤	169
실적	169
판매	169
내	167
추가	167
가장	165
선수	165
시위	165
투자	165
lg전자	164
구글	164
두산	164
장관	164
다저스	162
미사일	162
여자농구	162
제재	162
시장	161
함께	160
우승	159
의혹	156
카카오	153
대선	152
도입	152
사장	151
이상	150
검토	149
유럽	149
확정	149
모바일	147
촉구	147
3분기	146
미세먼지	146
회장	146
계약	145
날씨	145
성공	145
제주	145
협력	145
미	144
관련	143
독일	143
부산	143
후보	143
경찰	142
기업	142
오후	142
두	141
피해	141
못	140
준비	139
글로벌	138
브렉시트	138
여성	138
더민주	137
선두	135
유엔	135
눈	134
복귀	134
남북	133
여자배구	133
협상	133
추신수	132
프로배구	132
이후	130
마지막	129
에	129
영향	129
필요	129
is	128
계속	128
대표팀	128
시	128
애플	128
예상	128
전북	128
출전	128
충북	128
큰	128
평양정상회담	128
행사	127
폭발	126
대상	125
발사	124
프랑스	124
가능	123
대응	123
문제	123
베트남	123
사상	123
언론	123
요구	123
이라크	123
목표가	122
미래부	122
해제	122
대비	121
반대	121
화웨이	121
앱	120
조사	120
최지만	120
검찰	119
발견	119
아파트	119
없다	119
일부	119
때	118
최다	118
롯데	117
선발	117
대한항공	116
시진핑	116
앞둔	116
kbs	115
국민	115
인기	115
회동	115
2위	114
아베	114
이탈리아	114
주장	114
강원	113
갤럭시	113
놓고	113
있다	113
지속	113
금리	112
낮	112
위기	112
베네수엘라	110
