word	count
대통령	12480
첫	8456
출시	6136
게시판	6000
이란	5680
등	5448
감독	5416
kt	5368
신간	5104
트럼프	5000
것	4856
한국	4384
5g	4120
개최	3888
만에	3696
정부	3624
삼성	3568
개발	3264
문	3200
올해	3144
중	3144
김정은	3136
네이버	3120
월드컵	3120
lg	3072
공개	3040
전	3016
류현진	2960
작년	2960
더	2888
새	2880
중국	2816
국내	2792
그래픽	2704
시즌	2664
사망	2624
연속	2616
skt	2592
꺾고	2544
최대	2520
터키	2512
1위	2504
또	2488
서울	2488
개막	2472
미국	2464
서비스	2448
한	2408
최고	2376
mlb	2368
세계	2312
내년	2296
영업익	2296
추진	2296
코스피	2288
프로농구	2256
총리	2216
듯	2208
북한	2200
스마트폰	2168
ai	2160
아시안게임	2160
sk	2152
전국	2128
특징주	2128
시리아	2096
증가	2064
후	2056
논란	2048
돌파	2008
가능성	2000
주말	2000
지원	1984
손흥민	1976
방문	1936
결정	1928
내달	1928
내일	1920
경기	1896
논의	1896
여행	1856
vs	1848
규모	1840
속	1832
러시아	1824
승리	1824
시작	1808
안	1808
홍콩	1800
강화	1792
올림픽	1760
확대	1744
eu	1720
민주	1712
오늘	1712
여야	1688
국회	1672
하락	1672
러	1664
비	1656
lgu	1648
사우디	1632
부상	1624
삼성전자	1608
nba	1600
역대	1584
상승	1576
일본	1576
진출	1576
다시	1568
한국당	1560
감소	1552
발표	1552
우려	1552
1분기	1544
이스라엘	1544
수	1536
영상	1520
전망	1520
대표	1512
문대통령	1512
위한	1512
총선	1496
합의	1488
외국인	1480
홈런	1480
선정	1472
n	1432
없어	1424
공격	1408
기술	1400
위해	1384
앞두고	1368
2분기	1360
기대	1360
sk텔레콤	1352
실적	1352
판매	1352
내	1336
추가	1336
가장	1320
선수	1320
시위	1320
투자	1320
lg전자	1312
구글	1312
두산	1312
장관	1312
다저스	1296
미사일	1296
여자농구	1296
제재	1296
시장	1288
함께	1280
우승	1272
의혹	1248
카카오	1224
대선	1216
도입	1216
사장	1208
이상	1200
검토	1192
유럽	1192
확정	1192
모바일	1176
촉구	1176
3분기	1168
미세먼지	1168
회장	1168
계약	1160
날씨	1160
성공	1160
제주	1160
협력	1160
미	1152
관련	1144
독일	1144
부산	1144
후보	1144
경찰	1136
기업	1136
오후	1136
두	1128
피해	1128
못	1120
준비	1112
글로벌	1104
브렉시트	1104
여성	1104
더민주	1096
선두	1080
유엔	1080
눈	1072
복귀	1072
남북	1064
여자배구	1064
협상	1064
추신수	1056
프로배구	1056
이후	1040
마지막	1032
에	1032
영향	1032
필요	1032
is	1024
계속	1024
대표팀	1024
시	1024
애플	1024
예상	1024
전북	1024
출전	1024
충북	1024
큰	1024
평양정상회담	1024
행사	1016
폭발	1008
대상	1000
발사	992
프랑스	992
가능	984
대응	984
문제	984
베트남	984
사상	984
언론	984
요구	984
이라크	984
목표가	976
미래부	976
해제	976
대비	968
반대	968
화웨이	968
앱	960
조사	960
최지만	960
검찰	952
발견	952
아파트	952
없다	952
일부	952
때	944
최다	944
롯데	936
선발	936
대한항공	928
시진핑	928
앞둔	928
kbs	920
국민	920
인기	920
회동	920
2위	912
아베	912
이탈리아	912
주장	912
강원	904
갤럭시	904
놓고	904
있다	904
지속	904
금리	896
낮	896
위기	896
베네수엘라	880
확인	880
lg유플러스	872
대구	872
수사	872
없는	872
정상회담	872
2명	864
난민	864
대화	856
영입	856
코스닥	856
한반도	856
매체	848
선언	848
공연	840
상반기	840
맞아	832
멕시코	832
인터넷	832
중단	832
힐러리	832
개시	824
경고	824
경쟁	824
도전	824
정상	824
모든	816
배구	816
사업	808
시대	808
이벤트	808
최소	808
최초	808
출신	808
국민의당	800
운영	800
인도	800
주목	800
출간	800
방통위	792
영업이익	792
탈출	792
단독	784
브라질	784
축제	784
팀	784
게임	776
날	776
넥센	776
데이터	776
인공지능	776
달	768
아시아	768
원내대표	768
의원	768
제공	768
출발	768
테러	768
경제	760
남북정상회담	760
수상	760
연기	760
위협	760
하루	760
강정호	752
드론	752
매출	752
모집	752
스마트	752
오바마	752
원달러	752
잘	752
체포	752
환율	752
2년	744
4월	744
공모	744
교체	744
대만	744
사드	744
신임	744
인천	744
조국	744
가입자	736
강세	736
관광객	736
뉴스	736
압박	736
축구	736
핵합의	736
미중	728
비판	728
착수	728
참여	728
첫날	728
마감	720
주요	720
개선	712
모두	712
지지	712
출범	712
비핵화	704
콘텐츠	704
갤럭시s8	696
베스트셀러	696
연	696
이어	696
좋은	696
차	696
패배	696
프로야구	696
회복	696
5월	688
mvp	688
관심	688
구축	688
반발	688
수도권	688
안철수	688
우리	688
이해찬	688
청와대	688
통과	688
현대캐피탈	688
kbo	680
현대모비스	680
뒤	672
수도	672
실패	672
연장	672
충돌	672
플랫폼	672
광주	664
회담	664
kia	656
mbc	656
대	656
맨유	656
아프리카	656
우리은행	656
제압	656
회의	656
db	648
mou	648
전환	648
집중	648
참가	648
페이스북	648
푸틴	648
프로축구	648
한화	648
효과	648
1년	640
보도	640
수단	640
어떻게	640
에르도안	640
인수	640
전문가	640
최저	640
평화	640
3명	632
다음	632
대결	632
사태	632
새로운	632
없이	632
위반	632
제안	632
혐의	632
3연승	624
8월	624
넘어	624
안돼	624
연결	624
체결	624
태풍	624
해	624
훈련	624
10월	616
급증	616
길	616
늘어	616
당대회	616
방송	616
유조선	616
일	616
특검	616
g6	608
sns돋보기	608
강조	608
개인	608
결과	608
불법	608
상장	608
스페인	608
씽큐	608
우리카드	608
일정	608
9월	600
fa	600
가을	600
간담회	600
공식	600
군	600
예멘	600
요청	600
참석	600
통산	600
호날두	600
ok저축은행	592
경북	592
고객	592
구성	592
기록	592
배터리	592
3년	584
내일날씨	584
로봇	584
리비아	584
상대	584
상용화	584
성장	584
수출	584
예고	584
적용	584
캐나다	584
한은	584
핵실험	584
4분기	576
공급	576
기념	576
당	576
대신	576
반군	576
봄	576
외무	576
4년	568
기능	568
뚝	568
무안타	568
선거	568
수주	568
연구	568
영하	568
인상	568
지난해	568
최순실	568
한국전력	568
할인	568
힘	568
gs칼텍스	560
iot	560
갈등	560
규제	560
김연경	560
대규모	560
목표	560
미래	560
비난	560
새해	560
아냐	560
예약판매	560
오픈	560
왜	560
인사	560
일자리	560
증시	560
지도부	560
펀드	560
호주	560
경남	552
네타냐후	552
미군	552
북핵	552
업무협약	552
올라	552
작가	552
정책	552
주식	552
주의	552
지역	552
2연승	544
7월	544
epl	544
개편	544
기회	544
대책	544
법원	544
역사	544
영화	544
울산	544
유력	544
이집트	544
직접	544
질주	544
차기	544
평창올림픽	544
필리핀	544
할	544
tv	536
가격	536
개성공단	536
기온	536
많은	536
부동산	536
역전승	536
연휴	536
열려	536
요금제	536
재개	536
쿠르드	536
토트넘	536
확산	536
휴스턴	536
1명	528
20대	528
거부	528
계획	528
로	528
박지수	528
이번엔	528
잇단	528
클라우드	528
평균	528
평창	528
포함	528
폭염	528
15일	520
남자배구	520
대북제재	520
사건	520
신청	520
않아	520
전쟁	520
통화	520
한미	520
활용	520
후보자	520
nc	512
po	512
개통	512
겨냥	512
과기부	512
기반	512
설	512
성과	512
이총리	512
전시	512
종료	512
지분	512
진행	512
찾은	512
처리	512
추정	512
평양	512
합류	512
휴대전화	512
흥국생명	512
5명	504
개헌	504
결장	504
곳곳	504
공동	504
마련	504
문재인	504
법안	504
부진	504
선임	504
설치	504
위클리	504
유지	504
자금	504
차세대	504
하는	504
해외	504
11월	496
rd	496
경기도	496
내가	496
다른	496
대북	496
사용	496
상대로	496
속도	496
알뜰폰	496
영국	496
제한	496
탑재	496
통일부	496
핵	496
3위	488
mwc	488
v30	488
끝	488
바른미래	488
선	488
실시	488
오전	488
올	488
위원장	488
조성	488
책	488
초청	488
취소	488
타율	488
3월	480
6월	480
kist	480
경선	480
기념식	480
무실점	480
본격화	480
부인	480
신규	480
이야기	480
입장	480
있는	480
출마	480
페스티벌	480
해결	480
흐리고	480
ict	472
강력	472
강한	472
갤s8	472
공방	472
광고	472
내주	472
대전	472
먼저	472
발간	472
보안	472
시도	472
시위대	472
아직	472
은행	472
이	472
이닝	472
점검	472
챔프전	472
프로그램	472
허용	472
귀국	464
발언	464
북적	464
새누리	464
소설	464
어린이	464
여부	464
완료	464
인하	464
잇따라	464
전달	464
제외	464
폼페이오	464
확보	464
4강	456
vr	456
결승	456
금지	456
긴장	456
도발	456
무료	456
발행	456
실종	456
완파	456
정규리그	456
조기	456
종합	456
1월	448
lte	448
uae	448
가동	448
구단	448
규탄	448
달러	448
대체로	448
대출	448
레알	448
면담	448
박항서	448
변경	448
보고	448
사퇴	448
완승	448
장중	448
주의보	448
지지율	448
카메라	448
탄핵	448
한국인	448
현장	448
협의	448
화재	448
4명	440
국방부	440
김종인	440
다	440
대통령과	440
대회	440
많이	440
본격	440
북	440
세미나	440
세월호	440
수원	440
시범경기	440
아침	440
이틀째	440
인삼공사	440
중동	440
지정	440
추락	440
하반기	440
현대건설	440
2차	432
금감원	432
돌입	432
민주당	432
벤투호	432
변화	432
부총리	432
신인	432
신태용호	432
예선	432
예정	432
이달	432
제임스	432
중요	432
취임	432
통합	432
패스트트랙	432
하나금투	432
환영	432
황교안	432
fifa	424
갤노트7	424
갤노트8	424
골든스테이트	424
과기정통부	424
기성용	424
기자	424
당국	424
도약	424
동반	424
불참	424
신설	424
연내	424
유상증자	424
직원	424
청년	424
축구대표팀	424
축소	424
출격	424
취득	424
통신	424
가족	416
간	416
개혁	416
거래	416
곧	416
만든다	416
메시지	416
아닌	416
아이폰x	416
예산	416
온라인	416
이란에	416
이용자	416
정권	416
카드	416
2배	408
같은	408
그리스	408
기부	408
달성	408
대신증권	408
돌아온	408
말	408
메시	408
반정부	408
밤	408
비상	408
소집	408
약세	408
외교	408
있어	408
정보	408
증시신상품	408
지방선거	408
추석	408
투입	408
혜택	408
황총리	408
희망	408
3경기	400
g7	400
국가	400
급등	400
도로공사	400
목표주가	400
발생	400
번째	400
부담	400
사고	400
삼성화재	400
손학규	400
수준	400
올해의	400
유승민	400
유튜브	400
육박	400
의회	400
이통사	400
이틀	400
적자	400
철수	400
출국	400
투수	400
wnba	392
개장	392
거래소	392
공급계약	392
남자농구	392
될	392
맞대결	392
북미	392
승인	392
역할	392
올스타전	392
워싱턴	392
이적	392
제출	392
조치	392
주당	392
청문회	392
추천	392
카드뉴스	392
평가	392
26일	384
3당	384
7일	384
nh투자	384
가입	384
건	384
것종합	384
공습	384
네이마르	384
된	384
박지원	384
반등	384
선물	384
설립	384
아니다	384
아이폰	384
연극	384
의	384
이재영	384
전남	384
지시	384
차단	384
토론회	384
혁신	384
30일	376
3개	376
4연승	376
4일	376
5년	376
골	376
구름	376
구조	376
기관	376
나경원	376
대사	376
마크롱	376
만의	376
메르켈	376
반도체	376
사과	376
상황	376
잡고	376
장비	376
점유율	376
총격	376
투표	376
하원	376
협약	376
활동	376
